,公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
0,1101,台泥,2337946,2171125,2054868,7.68,13.77,2337946,2054868,13.77
1,1102,亞泥,870505,1051182,833884,-17.18,4.39,870505,833884,4.39
2,1103,嘉泥,186073,203489,179828,-8.55,3.47,186073,179828,3.47
3,1104,環球水泥,326488,321858,283637,1.43,15.1,326488,283637,15.1
4,1108,幸福水泥,290613,255518,256813,13.73,13.16,290613,256813,13.16
5,1109,信大水泥,121737,134944,119332,-9.78,2.01,121737,119332,2.01
6,1110,東泥,127459,148986,133687,-14.44,-4.65,127459,133687,-4.65
0,1201,味全公司,1110017,1075289,990701,3.22,12.04,1110017,990701,12.04
1,1203,味王公司,187490,183896,178223,1.95,5.19,187490,178223,5.19
2,1210,大成長城,2047391,1956012,1838786,4.67,11.34,2047391,1838786,11.34
3,1213,大飲,62895,51216,59403,22.8,5.87,62895,59403,5.87
4,1215,卜蜂企業,1335440,1250767,1192339,6.76,12.0,1335440,1192339,12.0
5,1216,統一,4784154,4043026,3832381,18.33,24.83,4784154,3832381,24.83
6,1217,愛之味,323491,179663,390349,80.05,-17.12,323491,390349,-17.12
7,1218,泰山企業,623159,610473,589471,2.07,5.71,623159,589471,5.71
8,1219,福壽實業,783323,788906,731886,-0.7,7.02,783323,731886,7.02
9,1220,台榮,216950,300155,163510,-27.72,32.68,216950,163510,32.68
10,1225,福懋油,840809,823067,682288,2.15,23.23,840809,682288,23.23
11,1227,佳格,1474833,1097835,1168557,34.34,26.2,1474833,1168557,26.2
12,1229,聯華實業,364717,366187,295411,-0.4,23.46,364717,295411,23.46
13,1231,聯華食品,621015,496565,544044,25.06,14.14,621015,544044,14.14
14,1232,大統益,1490420,1521279,1336666,-2.02,11.5,1490420,1336666,11.5
15,1233,天仁,233783,157899,190763,48.05,22.55,233783,190763,22.55
16,1234,黑松,584521,401330,315819,45.64,85.08,584521,315819,85.08
17,1235,興泰,27678,30560,34955,-9.43,-20.81,27678,34955,-20.81
18,1236,宏亞食品,420437,241737,343481,73.92,22.4,420437,343481,22.4
19,1702,南僑化工,225061,220308,184940,2.15,21.69,225061,184940,21.69
0,1301,台塑,17417871,16516832,15990313,5.45,8.92,17417871,15990313,8.92
1,1303,南亞塑膠,19407090,17943630,17559615,8.15,10.52,19407090,17559615,10.52
2,1304,台聚,1169433,1283688,1024309,-8.9,14.16,1169433,1024309,14.16
3,1305,華夏,713003,667922,737620,6.74,-3.33,713003,737620,-3.33
4,1307,三芳化工,623696,592394,433840,5.28,43.76,623696,433840,43.76
5,1308,亞聚,583020,585595,490872,-0.43,18.77,583020,490872,18.77
6,1309,台達化工,1039914,956575,776669,8.71,33.89,1039914,776669,33.89
7,1310,台苯,1181301,1029457,972902,14.74,21.42,1181301,972902,21.42
8,1312,國喬石化,1616402,1210705,1346492,33.5,20.04,1616402,1346492,20.04
9,1313,聯成,654071,586977,700785,11.43,-6.66,654071,700785,-6.66
10,1314,中石化,3309424,3249691,2958846,1.83,11.84,3309424,2958846,11.84
11,1315,達新工業,224616,222808,185887,0.81,20.83,224616,185887,20.83
12,1316,上曜,8313,20005,12414,-58.44,-33.03,8313,12414,-33.03
13,1319,東陽,1054117,1079235,779482,-2.32,35.23,1054117,779482,35.23
14,1321,大洋,459258,398299,421119,15.3,9.05,459258,421119,9.05
15,1323,永裕,141854,152612,131149,-7.04,8.16,141854,131149,8.16
16,1324,地球工業,120721,134075,116574,-9.96,3.55,120721,116574,3.55
17,1325,�琱j,113219,116127,93209,-2.5,21.46,113219,93209,21.46
18,1326,台化,26099195,26437491,24055460,-1.27,8.49,26099195,24055460,8.49
19,1715,亞洲化學,343340,345427,314928,-0.6,9.02,343340,314928,9.02
20,4306,炎洲,467326,506948,347320,-7.81,34.55,467326,347320,34.55
0,1402,遠東新,5133766,4947055,3611397,3.77,42.15,5133766,3611397,42.15
1,1409,新纖,2284246,2079835,1929589,9.82,18.37,2284246,1929589,18.37
2,1410,南染,26508,30181,21000,-12.16,26.22,26508,21000,26.22
3,1413,宏洲化工,442506,387729,330836,14.12,33.75,442506,330836,33.75
4,1414,東和,111153,118384,373620,-6.1,-70.24,111153,373620,-70.24
5,1416,廣豐,12971,25923,32457,-49.96,-60.03,12971,32457,-60.03
6,1417,嘉裕,139731,124428,122487,12.29,14.07,139731,122487,14.07
7,1418,東華,106221,244568,326053,-56.56,-67.42,106221,326053,-67.42
8,1419,新紡,63104,90919,69377,-30.59,-9.04,63104,69377,-9.04
9,1423,利華羊毛,129244,116616,63739,10.82,102.77,129244,63739,102.77
10,1432,大魯閣,651,381416,377,-99.82,72.67,651,377,72.67
11,1434,福懋興業,2916966,3057604,2444880,-4.59,19.3,2916966,2444880,19.3
12,1438,裕豐,0,0,982,,-100.0,0,982,-100.0
13,1439,中和羊毛,44229,31666,60794,39.67,-27.24,44229,60794,-27.24
14,1440,南紡,1896151,1713980,1142320,10.62,65.99,1896151,1142320,65.99
15,1441,大東紡織,183979,142756,120958,28.87,52.1,183979,120958,52.1
16,1443,立益紡織,69090,175200,143651,-60.56,-51.9,69090,143651,-51.9
17,1444,力麗,1257716,1087672,637498,15.63,97.28,1257716,637498,97.28
18,1445,大宇紡織,209331,204697,172217,2.26,21.55,209331,172217,21.55
19,1446,宏和,73309,58766,77789,24.74,-5.75,73309,77789,-5.75
20,1447,力鵬,2031995,2061361,2081496,-1.42,-2.37,2031995,2081496,-2.37
21,1449,佳和實業,180944,199102,141795,-9.11,27.6,180944,141795,27.6
22,1451,年興紡織,866828,944093,584498,-8.18,48.3,866828,584498,48.3
23,1452,宏益,229044,221212,150477,3.54,52.21,229044,150477,52.21
24,1453,大將,31950,41373,18757,-22.77,70.33,31950,18757,70.33
25,1454,台富,215551,237097,205808,-9.08,4.73,215551,205808,4.73
26,1455,集盛,1552820,1620036,1380622,-4.14,12.47,1552820,1380622,12.47
27,1456,怡華,192893,196482,157241,-1.82,22.67,192893,157241,22.67
28,1457,宜進,480506,369908,332904,29.89,44.33,480506,332904,44.33
29,1459,聯發紡織,310729,353641,271461,-12.13,14.46,310729,271461,14.46
30,1460,宏遠,427306,463757,308320,-7.85,38.59,427306,308320,38.59
31,1463,強盛染整,50182,47742,35424,5.11,41.66,50182,35424,41.66
32,1464,得力實業,123681,171465,105105,-27.86,17.67,123681,105105,17.67
33,1465,偉全實業,130164,130754,109656,-0.45,18.7,130164,109656,18.7
34,1466,聚隆,596440,605824,358289,-1.54,66.46,596440,358289,66.46
