,日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
0,104年01月05日,15.82,2.14,3.78,,
1,104年01月06日,15.14,2.24,3.62,,
2,104年01月07日,15.19,2.23,3.63,,
3,104年01月08日,15.65,2.17,3.74,,
4,104年01月09日,15.19,2.23,3.63,,
5,104年01月12日,14.97,2.27,3.58,,
6,104年01月13日,15.02,2.26,3.59,,
7,104年01月14日,14.74,2.30,3.52,,
8,104年01月15日,14.91,2.27,3.56,,
9,104年01月16日,15.53,2.18,3.71,,
10,104年01月19日,15.76,2.15,3.77,,
11,104年01月20日,15.65,2.17,3.74,,
12,104年01月21日,15.99,2.12,3.82,,
13,104年01月22日,15.87,2.14,3.80,,
14,104年01月23日,16.44,2.06,3.93,,
15,104年01月26日,16.44,2.06,3.93,,
16,104年01月27日,16.67,2.03,3.98,,
17,104年01月28日,16.61,2.04,3.97,,
18,104年01月29日,16.27,2.08,3.89,,
19,104年01月30日,15.99,2.12,3.82,,
20,104年02月02日,16.16,2.10,3.86,,
21,104年02月03日,16.38,2.07,3.92,,
22,104年02月04日,16.55,2.05,3.96,,
23,104年02月05日,16.50,2.05,3.94,,
24,104年02月06日,16.21,2.09,3.88,,
25,104年02月09日,16.10,2.11,3.85,,
26,104年02月10日,16.16,2.10,3.86,,
27,104年02月11日,16.78,2.02,4.01,,
28,104年02月12日,16.84,3.03,4.03,,
29,104年02月13日,16.84,3.03,4.03,,
30,104年02月24日,17.12,2.98,3.75,,
31,104年02月25日,15.18,2.91,3.83,,
32,104年02月26日,14.78,2.99,3.73,,
33,104年03月02日,14.64,3.02,3.70,,
34,104年03月03日,14.78,2.99,3.73,,
35,104年03月04日,14.78,2.99,3.73,,
36,104年03月05日,14.73,3.00,3.72,,
37,104年03月06日,14.64,3.02,3.70,,
38,104年03月09日,14.29,3.09,3.61,,
39,104年03月10日,14.15,3.13,3.57,,
40,104年03月11日,14.34,3.08,3.62,,
41,104年03月12日,14.54,3.04,3.67,,
42,104年03月13日,14.64,3.02,3.70,,
43,104年03月16日,14.34,3.08,3.62,,
44,104年03月17日,14.64,3.02,3.70,,
45,104年03月18日,15.08,2.93,3.81,,
46,104年03月19日,15.13,2.92,3.82,,
47,104年03月20日,15.13,2.92,3.82,,
48,104年03月23日,15.08,2.93,3.81,,
49,104年03月24日,14.88,2.97,3.76,,
50,104年03月25日,14.83,2.98,3.75,,
51,104年03月26日,14.29,3.09,3.61,,
52,104年03月27日,14.00,3.16,3.53,,
53,104年03月30日,14.00,3.16,3.53,,
54,104年03月31日,14.29,3.09,3.61,,
55,104年04月01日,14.15,3.13,3.57,,
56,104年04月02日,14.44,3.06,3.65,,
57,104年04月07日,14.34,3.08,3.62,,
58,104年04月08日,14.05,3.15,3.55,,
59,104年04月09日,14.05,3.15,3.55,,
60,104年04月10日,14.44,3.06,3.65,,
61,104年04月13日,14.44,3.06,3.65,,
62,104年04月14日,14.15,3.13,3.57,,
63,104年04月15日,14.05,3.15,3.55,,
64,104年04月16日,14.44,3.06,3.65,,
65,104年04月17日,14.00,3.16,3.53,,
66,104年04月20日,14.05,3.15,3.55,,
67,104年04月21日,14.00,3.16,3.53,,
68,104年04月22日,14.10,3.14,3.56,,
69,104年04月23日,14.44,3.06,3.65,,
70,104年04月24日,14.98,2.95,3.78,,
71,104年04月27日,14.88,2.97,3.76,,
72,104年04月28日,14.88,2.97,3.76,,
73,104年04月29日,14.59,3.03,3.68,,
74,104年04月30日,14.44,3.06,3.65,,
75,104年05月04日,14.49,3.05,3.66,,
76,104年05月05日,14.44,3.06,3.65,,
77,104年05月06日,14.49,3.05,3.66,,
78,104年05月07日,14.39,3.07,3.63,,
79,104年05月08日,14.39,3.07,3.63,,
80,104年05月11日,14.59,3.03,3.68,,
81,104年05月12日,14.49,3.05,3.40,,
82,104年05月13日,13.01,3.04,3.41,,
83,104年05月14日,12.83,3.08,3.37,,
84,104年05月15日,12.87,3.07,3.38,,
85,104年05月18日,12.87,3.07,3.38,,
86,104年05月19日,12.87,3.07,3.38,,
87,104年05月20日,12.87,3.07,3.38,,
88,104年05月21日,12.79,3.09,3.36,,
89,104年05月22日,12.79,3.09,3.36,,
